Canon EOS R1	canon	2024-07-17	slrs		
Canon EOS R5 Mark II	canon	2024-07-17	slrs		
Sony ZV-E10 II	sony	2024-07-10	slrs		
Sony E 16-50mm F3.5-5.6 PZ OSS II	sony	2024-07-10	lenses	SonyE	16-50mm
Pixii Max	pixii	2024-07-03	slrs		
Panasonic Lumix DC-FZ80D	panasonic	2024-07-02	compacts		
Leica D-Lux 8	leica	2024-07-02	compacts		
Nikon Nikkor Z 35mm F1.4	nikon	2024-06-26	lenses	NikonZ	35mm
Nikon Z6III	nikon	2024-06-17	slrs		
Canon RF-S 3.9mm F3.5 STM Dual Fisheye	canon	2024-06-10	lenses	CanonRF|CanonRFS	3.9-undefinedmm
Tamron 50-300mm F/4.5-6.3 Di III VC VXD	tamron	2024-06-06	lenses	SonyE|SonyFE	50-300mm
Pentax WG-8	pentax	2024-06-05	compacts		
Panasonic Lumix DC-GH7	panasonic	2024-06-05	slrs		
Canon RF 35mm F1.4 L VCM	canon	2024-06-05	lenses	CanonRF|CanonRFS	35mm
Sigma 28-45mm F1.8 DG DN Art	sigma	2024-06-03	lenses	LeicaSL|SonyE|SonyFE	28-45mm
Panasonic Lumix DC-S9	panasonic	2024-05-22	slrs		
Panasonic Lumix S 26mm F8	panasonic	2024-05-22	lenses	LeicaSL	26mm
Sigma 24-70mm F2.8 DG DN II | Art	sigma	2024-05-16	lenses	LeicaSL|SonyE|SonyFE	24-70mm
Fujifilm X-T50	fujifilm	2024-05-16	slrs		
Fujifilm GFX 100S II	fujifilm	2024-05-16	slrs		
Fujifilm XF 16-50mm F2.8-4.8 R LM WR	fujifilm	2024-05-16	lenses	FujifilmX	16-50mm
Fujifilm GF 500mm F5.6 R LM OIS WR	fujifilm	2024-05-16	lenses	FujifilmG	500mm
Hasselblad XCD 25mm F2.5 V	hasselblad	2024-05-07	lenses	HasselbladX	25mm
Viltrox AF 16mm F1.8	viltrox	2024-05-07	lenses	LeicaSL|NikonZ|SonyE|SonyFE	16mm
Viltrox AF 40mm F2.5	viltrox	2024-04-25	lenses	NikonZ|SonyE|SonyFE	40mm
Sony FE 16-25mm F2.8 G	sony	2024-04-16	lenses	SonyE|SonyFE	16-25mm
Viltrox AF 56mm F1.7	viltrox	2024-04-05	lenses	FujifilmX|NikonZ|SonyE	56mm
Ricoh GR III HDF	ricoh	2024-03-27	compacts		
Ricoh GR IIIx HDF	ricoh	2024-03-27	compacts		
Nikon Nikkor Z 28-400mm F4-8 VR	nikon	2024-03-27	lenses	NikonZ	28-400mm
Sigma 50mm F1.2 DG DN | Art	sigma	2024-03-26	lenses	LeicaSL|SonyE|SonyFE	50mm
7Artisans AF 50mm F1.8	7artisans	2024-03-18	lenses	NikonZ|SonyE|SonyFE	50mm
Leica SL3	leica	2024-03-07	slrs		
Panasonic Lumix S 28-200mm F4-7.1 Macro OIS	panasonic	2024-02-22	lenses	LeicaSL	28-200mm
Sony FE 24-50mm F2.8 G	sony	2024-02-21	lenses	SonyE|SonyFE	24-50mm
Sigma 15mm F1.4 DG DN Art	sigma	2024-02-21	lenses	LeicaSL|SonyE|SonyFE	15mm
Sigma 500mm F5.6 DG DN OS Sports	sigma	2024-02-20	lenses	LeicaSL|SonyE|SonyFE	500mm
Fujifilm X100VI	fujifilm	2024-02-20	compacts		
OM System OM-1 Mark II	om-system-olympus	2024-01-30	slrs		
OM System 150-600mm F5.0-6.3	om-system-olympus	2024-01-30	lenses	MicroFourThirds	150-600mm
